episode,total_reward
874,81.7772937612
875,81.8334225383
876,81.7171757398
877,81.6466841291
878,81.6933843426
879,81.6628821025
880,81.7218524354
881,81.7201138878
882,81.7068021789
883,81.8118532039
884,81.6581178057
885,81.7121343322
886,81.8570523757
887,81.6678970418
888,81.8665477364
889,81.8282513498
890,81.7827634791
891,81.6694855604
892,81.7835071934
893,81.6948188399
894,81.712636695
895,81.5833539656
896,81.647415764
897,81.5874005677
898,81.7143423698
899,81.8158006582
900,81.7220417856
901,81.734241354
902,81.7853581122
903,81.7962630136
904,84.383006101
905,81.619642591
906,81.636883196
907,81.6902850452
908,81.6824413984
909,81.6642906349
910,81.699949974
911,81.7941501016
912,81.6518850301
913,81.7772880811
914,81.7867821759
915,81.7960529736
916,81.8157509685
917,81.8193521511
918,81.7095314002
919,81.6875323171
920,81.7993805189
921,81.8410966335
922,81.6330507447
923,81.6408890203
924,81.7020263731
925,81.720290282
926,81.6385096736
927,81.7536829103
928,81.7167076245
929,81.6953591324
930,81.6727618596
931,81.7548709803
932,81.7837390255
933,81.7616632799
934,81.7382686094
935,81.8935457863
936,81.6506061821
937,81.8262164012
938,81.6067376474
939,81.8930323554
940,81.8305119509
941,81.7113281724
942,81.761842849
943,81.6865429361
944,81.7910134905
945,81.6394478316
946,81.7884473757
947,81.685935919
948,66.1753321069
949,85.1773518175
950,86.0611322977
951,71.6851066284
952,79.9100647427
953,94.4566024316
954,91.7469345159
955,70.6052476803
956,76.1832008881
957,78.1191449433
958,76.1079578099
959,93.4927632085
960,83.9233111349
961,72.4229816908
962,91.9986618664
963,95.197137816
964,79.4974510098
965,87.9693574198
966,87.3089036019
967,56.2303210138
968,71.9121580999
969,72.9684127128
970,97.0064214352
971,90.1328620631
972,89.5814711856
973,65.2402907647
974,77.2454961393
975,73.2222092412
976,58.9666489516
977,68.5378492998
978,84.0764262533
979,54.2127213555
980,80.9947857069
981,74.1108999743
982,67.6361822641
983,90.3320809534
984,67.5355692808
985,78.0923857611
986,89.6243945676
987,57.7583922383
988,60.5648408685
989,84.3805103223
990,81.8866646226
991,76.2046911397
992,57.6212521373
993,87.6009743842
994,77.7580674577
995,75.0350188334
996,86.2942650282
997,69.7432167266
998,83.7408228697
999,59.7784770676
1000,84.952950893
